,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
154,Аналитик данных,https://hh.ru/vacancy/35902250?query=python, Европлан ,"Москва, Серпуховская и еще 2 ",,,
155,Middle Backend Python developer,https://hh.ru/vacancy/36898444?query=python, Center-Game ,"Москва, Ботанический сад",90000,,руб.
156,Data scientist,https://hh.ru/vacancy/36796059?query=python, Открытые Технологии ,Москва,,180000,руб.
157,Data Scientist,https://hh.ru/vacancy/36527041?query=python, RB ,"Москва, Павелецкая",,,
158,Программист,https://hh.ru/vacancy/37000256?query=python,ООО Атмосферика ,Москва,60000,150000,руб.
159,Разработчик Python / CV,https://hh.ru/vacancy/36876942?query=python,ООО Коннектом ,"Москва, Павелецкая и еще 1 ",150000,200000,руб.
160,Full stack developer (Python / Django / Vue),https://hh.ru/vacancy/36553510?query=python, EXANTE ,Москва,1500,,EUR
161,Python разработчик,https://hh.ru/vacancy/36612505?query=python,ООО БОСТОНДЖИН ,Москва,,,
162,Python разработчик (Odoo),https://hh.ru/vacancy/36891387?query=python, Accenture ,Москва,,,
163,QA engineer,https://hh.ru/vacancy/36795902?query=python, Dialog ,"Москва, Кутузовская",,,
164,Data scientist / Специалист машинного обучения,https://hh.ru/vacancy/34964095?query=python, Банк ВТБ (ПАО) ,Москва,,,
165,DevOps engineer,https://hh.ru/vacancy/35219728?query=python, B2Broker ,Москва,120000,170000,руб.
166,Backend разработчик (GO),https://hh.ru/vacancy/36880022?query=python,ООО ЮНИМ ,Москва,,,
167,Ведущий программист Python,https://hh.ru/vacancy/36618179?query=python,ООО ФК ПУЛЬС ,Москва,,,
168,Full-stack разработчик,https://hh.ru/vacancy/36782521?query=python, Group-IB ,Москва,,,
169,Data Scientist,https://hh.ru/vacancy/37010627?query=python, Северсталь. Управляющая компания ,Москва,,,
170,Senior Data Scientist,https://hh.ru/vacancy/36912049?query=python," РЕСО-Гарантия, СПАО ","Москва, Нагатинская и еще 1 ",,,
171,Аналитик данных,https://hh.ru/vacancy/32265417?query=python,ООО Фаззи Лоджик Лабс ,"Москва, Серпуховская",,,
172,Data Scientist (Computer Vision),https://hh.ru/vacancy/36415870?query=python, Аванта ,Москва,,,
173,Разработчик / Инженер-программист (Python),https://hh.ru/vacancy/36886946?query=python, NGENIX ,"Москва, Дмитровская и еще 2 ",,230000,руб.
174,Frontend разработчик,https://hh.ru/vacancy/36785516?query=python,ООО Банк СКС ,"Москва, Смоленская и еще 2 ",,,
175,Python разработчик,https://hh.ru/vacancy/36318057?query=python,АО Семейный доктор ,"Москва, Краснопресненская и еще 1 ",130000,180000,руб.
176,Python-разработчик (Middle Python Developer),https://hh.ru/vacancy/36887804?query=python,ООО РАБЛЗ ,Москва,,230000,руб.
177,Software Engineer (С++/CMake),https://hh.ru/vacancy/29056936?query=python, NetworkOptix ,"Москва, Комсомольская и еще 1 ",4000,,USD
178,QA инженер,https://hh.ru/vacancy/37007808?query=python, NGENIX ,"Москва, Дмитровская и еще 2 ",,120000,руб.
179,Middle/Senior Data Analyst (Limassol),https://hh.ru/vacancy/36848261?query=python, Easybrain ,Москва,,,
180,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/36863064?query=python,ООО Фабрика Решений ,"Москва, Сухаревская",60000,150000,руб.
181,Программист-разработчик Python,https://hh.ru/vacancy/36596072?query=python, Агентство КИТ Консалт ,Москва,,,
182,Python разработчик,https://hh.ru/vacancy/36812626?query=python," EPAM Systems, Inc. ",Москва,,,
183,Data scientist (middle),https://hh.ru/vacancy/36955232?query=python, Открытые Технологии ,Москва,,150000,руб.
184,Программист Python,https://hh.ru/vacancy/35870480?query=python,АО РТИ ,"Москва, Динамо",,,
185,Frontend Javascript разработчик (middle),https://hh.ru/vacancy/36714388?query=python,ООО Диджитал Пайн ,Москва,60000,120000,руб.
186,Senior Python Разработчик,https://hh.ru/vacancy/36416362?query=python, Кадровое агентство Юнити ,Москва,,250000,руб.
187,Data Scientist / Data Analyst,https://hh.ru/vacancy/36887434?query=python, OSA HP ,"Москва, Международная",,,
188,Go/PHP developer,https://hh.ru/vacancy/36958305?query=python, A3F Group ,"Москва, Отрадное",120000,250000,руб.
189,Разработчик Python,https://hh.ru/vacancy/36338977?query=python,ООО Сбербанк-Сервис ,"Москва, Марьина Роща",,,
190,QA Engineer (Python),https://hh.ru/vacancy/34909381?query=python,ООО Т8 ,Москва,,,
191,Программист C/С++ (Linux),https://hh.ru/vacancy/36424427?query=python,ООО ГЛОСАВ ,Москва,100000,,руб.
192,Backend python developer,https://hh.ru/vacancy/36647320?query=python,"ПАО «МТС»,IT ",Москва,,,
193,Программист Python,https://hh.ru/vacancy/36595084?query=python, Московский метрополитен ,Москва,,,
194,Python разработчик в рекомендательные системы,https://hh.ru/vacancy/36822452?query=python," Mail.Ru Group, Почтовые сервисы ",Москва,,,
195,Разработчик Python/C++ DevTools,https://hh.ru/vacancy/36167370?query=python, Лаборатория Касперского ,Москва,,,
196,Senior Python Developer,https://hh.ru/vacancy/36859777?query=python, FunCorp ,Москва,,,
197,Разработчик Python/Django,https://hh.ru/vacancy/36319999?query=python,ООО Лаборатория Наносемантика ,Москва,90000,120000,руб.
198,ML Engineer (machine learning),https://hh.ru/vacancy/36862535?query=python, X5 RETAIL GROUP ,"Москва, Парк культуры",,,
199,Python Developer SberDevices,https://hh.ru/vacancy/36645407?query=python, Сбербанк для экспертов ,"Москва, Кутузовская и еще 1 ",,,
200,Python Developer SberDevices,https://hh.ru/vacancy/36645407?query=python, Сбербанк для экспертов ,"Москва, Кутузовская и еще 1 ",,,
201,Инженер-программист по тестированию (1754) (QA engineer Automation Test),https://hh.ru/vacancy/36961917?query=python,ОАО ЦНИИАГ ,Москва,100000,,руб.
